year,month,orig,dest,count
2015,8,E01008935,E01009371,11
2015,8,E01008935,E01009396,10
2015,8,E01008935,E01010192,82
2015,8,E01008935,E01010200,17
2015,8,E01008935,E01010201,75
2015,8,E01008935,E01033562,17
2015,8,E01008935,E01033615,23
2015,8,E01008935,E01033620,48
2015,8,E01008936,E01008935,13
2015,8,E01008936,E01009175,17
2015,8,E01008936,E01009178,58
2015,8,E01008936,E01010192,11
2015,8,E01008937,E01008933,16
2015,8,E01008937,E01008935,15
2015,8,E01008937,E01008937,14
2015,8,E01008937,E01008940,17
2015,8,E01008937,E01008978,14
2015,8,E01008937,E01009175,63
2015,8,E01008937,E01009178,98
2015,8,E01008937,E01010192,45
2015,8,E01008937,E01010200,13
2015,8,E01008937,E01010201,73
2015,8,E01008937,E01010206,24
2015,8,E01008937,E01033562,40
2015,8,E01008937,E01033615,10
2015,8,E01008937,E01033620,28
2015,8,E01008938,E01009178,33
2015,8,E01008939,E01008939,10
2015,8,E01008939,E01008945,14
2015,8,E01008939,E01008948,31
2015,8,E01008939,E01008978,35
2015,8,E01008939,E01009175,16
2015,8,E01008939,E01009178,45
2015,8,E01008939,E01009219,12
2015,8,E01008939,E01010192,10
2015,8,E01008939,E01033562,12
2015,8,E01008939,E01033620,21
2015,8,E01008940,E01008933,34
2015,8,E01008940,E01008937,18
2015,8,E01008940,E01008940,22
2015,8,E01008940,E01008978,24
2015,8,E01008940,E01009178,10
2015,8,E01008940,E01009185,10
2015,8,E01008940,E01009371,10
2015,8,E01008940,E01010192,13
2015,8,E01008940,E01010201,42
2015,8,E01008940,E01010206,21
2015,8,E01008940,E01032590,19
2015,8,E01008940,E01033620,27
2015,8,E01008941,E01008937,27
2015,8,E01008941,E01008940,13
2015,8,E01008941,E01008978,27
2015,8,E01008941,E01009175,27
2015,8,E01008941,E01009178,24
2015,8,E01008941,E01033615,12
2015,8,E01008941,E01033620,37
2015,8,E01008942,E01008978,40
2015,8,E01008943,E01008978,22
2015,8,E01008943,E01009175,12
2015,8,E01008943,E01009178,10
2015,8,E01008944,E01008933,17
2015,8,E01008944,E01008937,22
2015,8,E01008944,E01010192,15
2015,8,E01008944,E01010201,47
2015,8,E01008944,E01010206,24
2015,8,E01008944,E01032590,11
2015,8,E01008944,E01033620,16
2015,8,E01008945,E01008933,21
2015,8,E01008945,E01008935,14
2015,8,E01008945,E01008939,21
2015,8,E01008945,E01008945,21
2015,8,E01008945,E01008946,16
2015,8,E01008945,E01008948,132
2015,8,E01008945,E01008978,32
2015,8,E01008945,E01009175,24
2015,8,E01008945,E01009178,24
2015,8,E01008945,E01009378,13
2015,8,E01008945,E01033615,29
2015,8,E01008945,E01033620,90
2015,8,E01008946,E01008945,14
2015,8,E01008946,E01008946,17
2015,8,E01008946,E01008948,98
2015,8,E01008946,E01008978,27
2015,8,E01008946,E01009175,11
2015,8,E01008946,E01010192,131
2015,8,E01008946,E01010201,40
2015,8,E01008946,E01010206,28
2015,8,E01008946,E01010220,21
2015,8,E01008946,E01032590,13
2015,8,E01008946,E01033620,17
2015,8,E01008948,E01008946,22
2015,8,E01008948,E01008948,20
2015,8,E01008948,E01008961,10
2015,8,E01008948,E01008978,17
2015,8,E01008948,E01009109,11
2015,8,E01008948,E01010192,115
2015,8,E01008948,E01010201,82
2015,8,E01008948,E01010206,23
2015,8,E01008948,E01010219,15
2015,8,E01008948,E01010222,14
2015,8,E01008948,E01032590,10
2015,8,E01008950,E01008952,18
2015,8,E01008950,E01009159,19
2015,8,E01008950,E01009175,11
2015,8,E01008950,E01009206,20
2015,8,E01008950,E01009219,290
2015,8,E01008951,E01008961,35
2015,8,E01008951,E01009178,20
2015,8,E01008951,E01009219,97
2015,8,E01008952,E01008951,10
2015,8,E01008952,E01008952,44
2015,8,E01008952,E01008957,24
2015,8,E01008952,E01008961,45
2015,8,E01008952,E01009119,42
2015,8,E01008952,E01009175,38
2015,8,E01008952,E01009178,48
2015,8,E01008952,E01009219,65
2015,8,E01008952,E01033615,10
2015,8,E01008952,E01033620,21
2015,8,E01008953,E01008961,17
2015,8,E01008953,E01009119,14
2015,8,E01008953,E01009178,15
2015,8,E01008954,E01008952,19
2015,8,E01008954,E01008955,11
2015,8,E01008954,E01008958,11
2015,8,E01008954,E01009159,10
2015,8,E01008954,E01009219,166
2015,8,E01008955,E01009175,16
2015,8,E01008955,E01009178,13
2015,8,E01008955,E01009219,30
2015,8,E01008956,E01009284,13
2015,8,E01008956,E01033562,10
2015,8,E01008957,E01008957,16
2015,8,E01008957,E01008961,18
2015,8,E01008957,E01009119,23
2015,8,E01008957,E01009175,15
2015,8,E01008957,E01009178,22
