lsoa11cd,measure,value
E01009630,2008,235
E01009631,2008,238
E01009632,2008,310
E01009633,2008,176
E01009634,2008,174
E01009635,2008,147
E01009636,2008,154
E01009637,2008,109
E01009638,2008,166
E01009639,2008,214
E01009640,2008,164
E01009641,2008,167
E01009642,2008,189
E01009643,2008,262
E01009644,2008,326
E01009645,2008,251
E01009646,2008,260
E01009647,2008,382
E01009648,2008,278
E01009649,2008,280
E01009650,2008,175
E01009651,2008,223
E01009652,2008,425
E01009653,2008,384
E01009654,2008,253
E01009655,2008,275
E01009656,2008,311
E01009657,2008,262
E01009658,2008,263
E01009659,2008,229
E01009660,2008,269
E01009661,2008,206
E01009662,2008,259
E01009663,2008,490
E01009664,2008,225
E01009665,2008,421
E01009666,2008,295
E01009667,2008,563
E01009668,2008,322
E01009669,2008,202
E01009670,2008,366
E01009671,2008,301
E01009672,2008,673
E01009674,2008,251
E01009676,2008,256
E01009679,2008,328
E01009681,2008,335
E01009682,2008,340
E01009683,2008,193
E01009684,2008,325
E01009685,2008,373
E01009686,2008,333
E01009687,2008,234
E01009688,2008,191
E01009689,2008,149
E01009690,2008,179
E01009691,2008,163
E01009692,2008,500
E01009693,2008,425
E01009694,2008,439
E01009695,2008,632
E01009696,2008,493
E01009697,2008,420
E01009698,2008,413
E01009699,2008,431
E01009700,2008,307
E01009701,2008,335
E01009702,2008,297
E01009703,2008,281
E01009704,2008,310
E01009705,2008,394
E01009706,2008,438
E01009707,2008,285
E01009708,2008,375
E01009709,2008,145
E01009710,2008,352
E01009711,2008,450
E01009712,2008,308
E01009713,2008,232
E01009714,2008,262
E01009715,2008,249
E01009716,2008,326
E01009717,2008,295
E01009718,2008,395
E01009719,2008,293
E01009720,2008,171
E01009721,2008,441
E01009722,2008,332
E01009723,2008,189
E01009724,2008,255
E01009725,2008,238
E01009726,2008,302
E01009727,2008,186
E01009728,2008,271
E01009729,2008,369
E01009730,2008,147
E01009731,2008,259
E01009732,2008,426
E01009733,2008,369
E01009734,2008,424
E01009735,2008,313
E01009736,2008,430
E01009737,2008,404
E01009738,2008,381
E01009739,2008,350
E01009740,2008,223
E01009741,2008,330
E01009742,2008,372
E01009743,2008,316
E01009744,2008,317
E01009745,2008,388
E01009746,2008,381
E01009747,2008,181
E01009748,2008,309
E01009749,2008,419
E01009750,2008,395
E01009751,2008,362
E01009752,2008,268
E01009753,2008,305
E01009754,2008,283
E01009756,2008,247
E01009757,2008,344
E01009758,2008,398
E01009759,2008,425
E01009760,2008,304
E01009762,2008,193
