lsoa11cd,n_tot,cluster,cluster_prop
E01008945,211,4,0.0995260663507109
E01008945,211,6,0.15165876777251186
E01008946,243,1,0.4444444444444444
E01008946,243,2,0.13168724279835392
E01008946,243,3,0.07818930041152264
E01008946,243,4,0.11522633744855967
E01008946,243,5,0.07818930041152264
E01008946,243,6,0.1522633744855967
E01008947,183,1,0.4644808743169399
E01008947,183,2,0.14754098360655737
E01008947,183,3,0.06557377049180328
E01008947,183,4,0.09289617486338798
E01008947,183,5,0.07650273224043716
E01008947,183,6,0.15300546448087432
E01008948,280,1,0.5071428571428571
E01008948,280,2,0.20357142857142857
E01008948,280,3,0.10714285714285714
E01008948,280,4,0.06785714285714285
E01008948,280,5,0.04642857142857143
E01008948,280,6,0.06785714285714285
E01008949,224,1,0.6607142857142857
E01008949,224,2,0.19196428571428573
E01008949,224,3,0.05357142857142857
E01008949,224,6,0.09375
E01008950,393,1,0.5903307888040712
E01008950,393,2,0.1297709923664122
E01008950,393,3,0.06361323155216285
E01008950,393,4,0.0737913486005089
E01008950,393,5,0.04580152671755725
E01008950,393,6,0.09669211195928754
E01008951,194,1,0.5412371134020618
E01008951,194,2,0.0979381443298969
E01008951,194,3,0.061855670103092786
E01008951,194,4,0.1134020618556701
E01008951,194,6,0.18556701030927836
E01008952,132,1,0.4318181818181818
E01008952,132,2,0.12878787878787878
E01008952,132,3,0.10606060606060606
E01008952,132,4,0.11363636363636363
E01008952,132,5,0.09848484848484848
E01008952,132,6,0.12121212121212122
E01008953,203,1,0.3448275862068966
E01008953,203,2,0.1477832512315271
E01008953,203,3,0.08374384236453201
E01008953,203,4,0.08866995073891626
E01008953,203,5,0.07881773399014778
E01008953,203,6,0.2561576354679803
E01008954,344,1,0.5465116279069767
E01008954,344,2,0.18895348837209303
E01008954,344,3,0.06395348837209303
E01008954,344,4,0.05813953488372093
E01008954,344,5,0.0436046511627907
E01008954,344,6,0.09883720930232558
E01008955,187,1,0.5347593582887701
E01008955,187,2,0.12299465240641712
E01008955,187,3,0.08021390374331551
E01008955,187,4,0.09090909090909091
E01008955,187,5,0.0748663101604278
E01008955,187,6,0.0962566844919786
E01008956,198,1,0.5909090909090909
E01008956,198,2,0.12121212121212122
E01008956,198,3,0.06565656565656566
E01008956,198,5,0.0707070707070707
E01008956,198,6,0.15151515151515152
E01008957,137,1,0.3722627737226277
E01008957,137,2,0.18248175182481752
E01008957,137,3,0.11678832116788321
E01008957,137,4,0.12408759124087591
E01008957,137,6,0.20437956204379562
E01008958,363,1,0.4793388429752066
E01008958,363,2,0.1349862258953168
E01008958,363,3,0.11570247933884298
E01008958,363,4,0.06887052341597796
E01008958,363,5,0.06887052341597796
E01008958,363,6,0.1322314049586777
E01008959,410,1,0.5487804878048781
E01008959,410,2,0.14146341463414633
E01008959,410,3,0.06341463414634146
E01008959,410,4,0.07073170731707316
E01008959,410,5,0.05365853658536585
E01008959,410,6,0.12195121951219512
E01008960,153,1,0.5359477124183006
E01008960,153,2,0.1568627450980392
E01008960,153,3,0.08496732026143791
E01008960,153,4,0.0915032679738562
E01008960,153,6,0.13071895424836602
E01008961,278,1,0.4892086330935252
E01008961,278,2,0.20503597122302158
E01008961,278,3,0.07553956834532374
E01008961,278,4,0.07913669064748201
E01008961,278,5,0.046762589928057555
E01008961,278,6,0.10431654676258993
E01008962,220,1,0.4909090909090909
E01008962,220,2,0.14545454545454545
E01008962,220,3,0.06363636363636363
E01008962,220,4,0.05
E01008962,220,5,0.07272727272727272
E01008962,220,6,0.17727272727272728
E01008963,157,1,0.445859872611465
E01008963,157,2,0.17834394904458598
E01008963,157,3,0.08917197452229299
E01008963,157,4,0.08280254777070063
E01008963,157,6,0.20382165605095542
E01008964,219,1,0.4657534246575342
E01008964,219,2,0.1552511415525114
E01008964,219,3,0.0684931506849315
E01008964,219,4,0.0593607305936073
E01008964,219,5,0.0639269406392694
E01008964,219,6,0.1872146118721461
E01008965,213,1,0.5070422535211268
E01008965,213,2,0.14084507042253522
E01008965,213,3,0.09389671361502347
E01008965,213,4,0.06572769953051644
E01008965,213,5,0.056338028169014086
E01008965,213,6,0.13615023474178403
